Plans;Codes;Name;English name;Year;Credits;Language;Semester;Group;Level;Available undergrad;Final level;Plan;Code;Quota;Learning guide;Observations
10II;105000010;GESTION DE PROCESOS DE TECNOLOGIAS DE LA INFORMACION;INFORMATION TECHNOLOGIES PROCESS MANAGEMENT;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000377;GESTIÓN DE PROYECTOS INFORMÁTICOS;SOFTWARE PROJECT MANAGEMENT;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000430;GESTIÓN DE RIESGOS;RISK MANAGEMENT;5;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000390;GESTIÓN Y CONTROL DE CALIDAD;QUALITY CONTROL AND MANAGEMENT;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AN;103000643;GOBERNANZA Y GESTION DE TI;IT GOVERNANCE AND MANAGEMENT;2;4,5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000622;GRAFICOS POR ORDENADOR;COMPUTER GRAPHICS;1;3;Castellano;2S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000447;INFORMACIÓN Y COMPUTACIÓN CUÁNTICA ;INFORMATION AND COMPUTING;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001031;INFRAESTRUCTURAS DE BIG DATA;BIG DATA TECHNOLOGIES;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001025;INFRAESTRUCTURAS Y SERVICIOS CLOUD;CLOUD SERVICES;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000448;INGENIERÍA DE PROTOCOLOS DE COMUNICACIONES ;COMMUNICATION PROTOCOL ENGINEERING ;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10II;105000023;INGENIERIA DEL SOFTWARE I;SOFTWARE ENGINEERING I;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000025;INGENIERIA DEL SOFTWARE II;SOFTWARE ENGINEERING II;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000346;INGENIERIA LINGÜISTICA;LINGUISTIC ENGINEERING;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AJ;103000367;INGENIERIA ONTOLOGICA;ONTOLOGICAL ENGINEERING;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000022;INTELIGENCIA ARTIFICIAL;ARTIFICIAL INTELLIGENCE;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000750;INTELIGENCIA ARTIFICIAL EXPLICABLE;EXPLAINABLE ARTIFICIAL INTELLIGENCE;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000453;INTELIGENCIA ARTIFICIAL Y CIENCIA ABIERTA EN INGENIERÍA DE SOFTWARE CIENTÍFICO;ARTIFICIAL INTELLIGENCE AND OPEN SCIENCE IN RESEARCH SOFTWARE ENGINEERING;4;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001036;INTERNET DE LAS COSAS (IOT);INTERNET OF THINGS (IOT);4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000353;INTRODUCCIÓN A LA ADMINISTRACIÓN DE EMPRESAS;INTRODUCCIÃN A LA ADMINISTRACIÃN DE EMPRESAS;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000431;INTRODUCCIÓN A LA AUDITORÍA;INTRODUCTION TO THE AUDIT;5;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000395;INTRODUCCIÓN A LA BIOCOMPUTACIÓN;INTRODUCTION TO BIOCOMPUTING;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10ID;105000359;INTRODUCCIÓN A LA CONTABILIDAD;INTRODUCCIÃN A LA CONTABILIDAD;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000360;INTRODUCCIÓN A LAS FINANZAS;INTRODUCCIÃN A LAS FINANZAS;1;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000382;INVESTIGACIÓN DE MERCADOS;MARKET RESEARCH;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000036;INVESTIGACION OPERATIVA;OPERATIONS RESEARCH;3;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10II;105000014;LENGUAJES FORMALES, AUTOMATAS Y COMPUTABILIDAD;FORMAL LANGUAGES, AUTOMATA AND COMPUTABILITY;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000160;LINGÜISTICA COMPUTACIONAL;COMPUTATIONAL LINGUISTICS;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000002;LOGICA;LOGIC;1;6;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000410;LOGÍSTICA Y DISTRIBUCIÓN FÍSICA;LOGISTICS AND PHYSICAL DISTRIBUTION;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000368;MARKETING Y GESTIÓN DE VENTAS;MARKETING Y GESTIÃN DE VENTAS;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000003;MATEMATICA DISCRETA I;DISCRETE MATHEMATICS I;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000004;MATEMATICA DISCRETA II;DISCRETE MATHEMATICS II;2;3;Castellano;1S;7;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000107;MATEMATICA DISCRETA II;DISCRETE MATHEMATICS II;1;6;Castellano;2S;7;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000455;MATEMÁTICA DISCRETA III;DISCRETE MATHEMATICS III;4;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001029;MÉTODOS CLÁSICOS PARA PREDICCIÓN;CLASSIC PREDICTIVE METHODS;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000361;MÉTODOS CUANTITATIVOS PARA LA EMPRESA;MÃTODOS CUANTITATIVOS PARA LA EMPRESA;1;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000345;METODOS DE SIMULACION;SIMULATION METHODS;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000367;MICROECONOMÍA;MICROECONOMÃA;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000169;MINERIA DE DATOS;DATA MINING;4;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
10AN;103000652;MINERIA DE MODELOS PARA LA TOMA DE DECISIONES;MINING DECISION MAKING MODELS;2;6;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10ML;105000129;MODELIZACION;MODELIZATION;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000368;MODELOS DE RAZONAMIENTO;MODELS OF REASONING;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000444;MULTIMEDIA;MULTIMEDIA;4;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000079;NANOTECNOLOGIA;NANOTECHNOLOGY;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10AN;103000647;NEGOCIO EN TI;BUSINESS MODELS IN IT;2;6;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000621;PLANIFICACION ESTRATEGICA;STRATEGIC MANAGEMENT;1;4,5;Castellano;2S;;Master;;Master;#REF!;#REF!;;#REF!;
10ID;105000411;POLÍTICAS SECTORIALES;SECTORAL POLICIES;4;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000072;PRACTICUM (PRIMER SEMESTRE);INTERNSHIP (FALL);4;12;Castellano;1S;3;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000072;PRACTICUM (SEGUNDO SEMESTRE);INTERNSHIP (SPRING);4;12;Castellano;2S;3;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000354;PRINCIPIOS DE ECONOMÍA;PRINCIPIOS DE ECONOMÃA;1;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000008;PROBABILIDADES Y ESTADISTICA II;PROBABILITY AND STATISTICS II;2;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000450;PROCESADO DE SEÑALES Y SUS APLICACIONES;SIGNAL PROCESSING AND APPLICATIONS;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000019;PROCESADORES DE LENGUAJES;LANGUAGE PROCESSORS;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001014;PROCESAMIENTO DE LENGUAJE NATURAL;NATURAL LANGUAGE PROCESSING;2;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000043;PROCESAMIENTO DIGITAL DE LA SEÑAL;DIGITAL SIGNAL PROCESSING;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;1;#REF!;
10AN;103000611;PROFUNDIZACION EN INGENIERIA DEL SOFTWARE;ADVANCED SOFTWARE ENGINEERING;1;3;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000017;PROGRAMACION DECLARATIVA: LOGICA Y RESTRICCIONES;DECLARATIVE PROGRAMMING: LOGIC AND CONSTRAINTS;3;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000126;PROGRAMACION FUNCIONAL;FUNCTIONAL PROGRAMMING;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000013;PROGRAMACIÓN I;PROGRAMMING I;1;6;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000015;PROGRAMACIÓN II;PROGRAMMING II;1;6;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10CD;105001016;PROGRAMACIÓN PARA CIENCIA DE DATOS;PROGRAMMING FOR DATA SCIENCE;2;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105001043;PROGRAMACIÓN PARA DISPOSITIVOS MÓVILES;PROGRAMMING FOR MOBILE DEVICES;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;3;#REF!;
