Plans;Codes;Name;English name;Year;Credits;Language;Semester;Group;Level;Available undergrad;Final level;Plan;Code;Quota;Learning guide;Observations
10ML;105000128;TOPOLOGIA;TOPOLOGY;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ML;105000445;TOPOLOGIA APLICADA Y COMPUTACIONAL;APPLIED AND COMPUTATIONAL TOPOLOGY;4;6;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10ID;105000435;TRABAJO FIN DE GRADO (ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS);BACHELOR FINAL PROJECT (BUSINESS ADMINISTRATION);5;12;Castellano;I;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000050;TRABAJO FIN DE GRADO (PRIMER SEMESTRE);BACHELOR FINAL PROJECT;4;12;Castellano;1S;1;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105000050;TRABAJO FIN DE GRADO (SEGUNDO SEMESTRE);BACHELOR FINAL PROJECT;4;12;Castellano;2S;1;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10BA;103000909;TRABAJO FIN DE MASTER (12 ECTS);MASTER THESIS (12 ECTS);1;12;Castellano;I;1;Master;;Master;#REF!;#REF!;;#REF!;
10AK;103000396;TRABAJO FIN DE MASTER (15 ECTS);MASTER THESIS (15 ECTS);1;15;Castellano;I;1;Master;;Master;#REF!;#REF!;;#REF!;
10AN;103000629;TRABAJO FIN DE MASTER (18 ECTS);MASTER THESIS (18 ECTS);2;18;Castellano;I;1;Master;;Master;#REF!;#REF!;;#REF!;
10AZ;103000849;TRABAJO FIN DE MASTER (30 ECTS);MASTER THESIS (30 ECTS);2;30;Castellano;I;1;Master;;Master;#REF!;#REF!;;#REF!;
10II;105000397;TRADUCTORES DE LENGUAJES;LANGUAGE TRANSLATORS;3;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;4;#REF!;
10ID;105000420;VALORACIÓN DE ACTIVOS Y DE INVERSIONES;ASSET AND INVESTMENT VALUATION;4;6;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10AJ;103000369;VISION POR COMPUTADOR;COMPUTER VISION;1;5;Castellano;1S;;Master;;Master;#REF!;#REF!;;#REF!;
10CD;105001032;VISUALIZACIÓN DE INFORMACIÓN;INFORMATION VISUALIZATION;3;3;Castellano;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;
10II;105001072;SOSTENIBILIDAD EN SOFTWARE, SISTEMAS Y COMPUTACIÓN;SUSTAINABILITY IN SOFTWARE, SYSTEMS, AND COMPUTING;3;3;Castellano;1S;;Bachelor;;Bachelor;#REF!;#REF!;2;#REF!;
